Country Name,Country Code,2018,2019,2020,2021,2022,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022
Aruba,ABW,3276184357.5419,3395798882.68156,2481857122.8401,2929446578.25104,3279343543.60416,108908,109203,108587,107700,107310
Africa Eastern and Southern,AFE,1012306000425.25,1009721174054.91,933391782089.617,1085745178850.97,1191423176242.96,657801085,675950189,694446100,713090928,731821393
Afghanistan,AFG,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,36743039,37856121,39068979,40000412,40578842
Africa Western and Central,AFW,770494988148.76,826483769985.129,789801651563.294,849312422223.205,883973910898.854,452195915,463365429,474569351,485920997,497387180
Angola,AGO,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,31297155,32375632,33451132,34532429,35635029
Albania,ALB,15379509891.7196,15585105131.0644,15241458744.8688,18032010563.7558,19017242585.7803,2866376,2854191,2837849,2811666,2777689
Andorra,AND,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,75162,76474,77380,78364,79705
Arab World,ARB,2867348492603.59,2899029698316.63,2562783626987.73,2969239218342.03,3609805711776.49,435998060,444281315,453723239,460646603,471352066
United Arab Emirates,ARE,427049432149.345,417989721734.494,349473015336.939,415178792769.884,502731935197.487,9346701,9445785,9401038,9575152,10074977
Argentina,ARG,524819892360.176,447754683615.225,385740508436.965,486564085480.036,632790070063.124,44654882,44973465,45191965,45312281,45407904
Armenia,ARM,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,2969000,2962500,2961500,2962300,2969200
American Samoa,ASM,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,50908,50209,49761,49225,48342
Antigua and Barbuda,ATG,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,90926,91364,91846,92349,92840
Australia,AUS,1427809041019.44,1392723834562.64,1328414058378.38,1556735770437.26,1690858246994.43,24963258,25334826,25649248,25685412,26014399
Austria,AUT,452582294972.775,442983642371.842,434397601557.696,480467037338.783,471773629830.381,8840521,8879920,8916864,8955797,9041851
Azerbaijan,AZE,47112470051.7701,48174235294.1176,42693000000.0,54825411764.7059,78807470588.2353,9939771,10024283,10093121,10137750,10141756
Burundi,BDI,2667182199.51333,2576518879.82353,2649680261.44299,2775798697.46022,3338722827.65691,11859446,12255336,12617036,12965481,13321097
Belgium,BEL,542638913427.921,536726344405.489,529694473501.791,598494036474.409,593438820508.173,11427054,11488980,11538604,11586195,11680210
Benin,BEN,14262408079.7014,14391686309.033,15651545208.8783,17690083519.9323,17401746309.2655,12383347,12726755,13070169,13413417,13759501
Burkina Faso,BFA,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18820218690.5948,20438288,20961952,21478690,21995243,22509038
Bangladesh,BGD,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131688909.301,163523103,164913055,166298024,167658854,169384897
Bulgaria,BGR,66289266348.6504,68631726289.2794,70716821234.5967,84417951260.8091,90642851835.8996,7025037,6975761,6934015,6877743,6643324
Bahrain,BHR,39567978723.4043,40446808510.6383,35837632978.7234,40840212765.9574,46680398936.1702,1503091,1483756,1472204,1504365,1524693
"Bahamas, The",BHS,12615800000.0,13016200000.0,9958200000.0,11368900000.0,13136400000.0,392717,394675,395863,396373,397538
Bosnia and Herzegovina,BIH,20484053868.9246,20482608755.379,20226036564.4129,23672712242.2149,24534663636.1778,3387000,3345533,3299349,3244907,3204802
Belarus,BLR,60031173807.7196,64410122847.3508,61371755326.2351,69673747131.87,73775179924.603,9438785,9419758,9379952,9302585,9228071
Belize,BLZ,2293250000.0,2388300000.0,2042850000.0,2420550000.0,2846700000.0,380226,385829,390812,395346,402733
Bermuda,BMU,7225977000.0,7423465000.0,6887147000.0,7286607000.0,7827980000.0,63831,64107,64382,64648,64749
Bolivia,BOL,40287647930.4761,40895322843.7851,36629843805.0216,40406111695.179,44008282877.9606,11508368,11671386,11816299,11937360,12077154
Brazil,BRA,1916933898038.36,1873288205186.45,1476107231194.11,1670647399034.67,1951923942083.32,206107261,207455459,208660842,209550294,210306415
Barbados,BRB,5629916200.0,5788288000.0,5168344450.0,5275242050.0,6257303500.0,280711,281207,281698,282147,282318
Brunei Darussalam,BRN,13566908401.1864,13469235348.2211,12005799664.2691,14006496614.3195,16681536442.5498,437810,442680,447404,451721,455370
Bhutan,BTN,2583335721.20625,2735683570.28851,2457604334.15915,2768802959.60794,2898227743.13545,759759,764824,770006,775442,780914
Botswana,BWA,17031943186.1353,16725908148.5481,14960291105.9316,18750946600.1423,20321958850.0363,2299141,2332083,2365894,2401441,2439892
Central African Republic,CAF,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,4878657,4944703,5026628,5112100,5098039
Canada,CAN,1725329192783.02,1743725183672.52,1655684730000.19,2007472181464.15,2161483369422.01,37072620,37618495,38028638,38239864,38939056
Central Europe and the Baltics,CEB,1657633874968.79,1685123570509.08,1678756939339.66,1926804401016.02,1955925827813.51,102439383,102282674,102046650,100647592,100289401
Switzerland,CHE,725568717468.001,721369112726.724,741999406005.627,813408787222.499,818426550206.45,8514329,8575280,8638167,8704546,8777088
Channel Islands,CHI,10026153344.8196,10032440928.3488,9439810775.67214,11157002972.5829,11308300346.3725,164949,165639,166235,166741,167215
Chile,CHL,295857562991.709,278285058719.466,254042159309.311,315515014838.539,302116539409.03,18893191,19197744,19370624,19456334,19553036
China,CHN,13894907857880.6,14279968506271.7,14687744162801.0,17820459508852.2,17881782683707.3,1402760000,1407745000,1411100000,1412360000,1412175000
Cote d'Ivoire,CIV,58522477786.6889,60382894697.3557,63027852805.4204,72794636653.7793,70173140101.4315,27464173,28193009,28915449,29639736,30395002
Cameroon,CMR,39955552189.795,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,24806383,25506095,26210558,26915758,27632771
"Congo, Dem. Rep.",COD,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,65801547619.5815,90047644,92947442,95989998,99148932,102396968
"Congo, Rep.",COG,14773900288.5135,13976637779.9763,11468687464.0046,14825690210.9157,15817030154.6941,5483118,5616661,5752791,5892183,6035104
Colombia,COL,334198218098.276,323031701192.84,270348342541.465,318524633225.395,345329875078.512,49024465,49907985,50629997,51188173,51737944
Comoros,COM,1188797449.38584,1195019531.9011,1225039196.61091,1296089479.91978,1242519407.77603,771590,786578,802163,818174,834188
Cabo Verde,CPV,2205099509.15987,2252177133.74705,1821565617.6945,2051842609.64558,2247003347.63376,513415,514104,514679,516649,519741
Costa Rica,CRI,62420164991.5374,64417670521.3545,62395610760.0492,64960725734.1965,69243626028.5936,4957818,4999553,5034320,5059988,5081765
Caribbean small states,CSS,36727457619.9835,38046955433.6011,31763210392.7783,37091445807.6818,48740490013.1088,3048465,3079149,3092577,3111609,3131505
Cuba,CUB,100050036096.123,103427600000.0,107351800000.0,,,11227118,11202846,11176354,11122168,11059820
Curacao,CUW,3046364804.46927,3026124134.07821,2534327597.76536,2739608156.42458,3075180834.72417,159336,157441,154947,152369,149996
Cayman Islands,CYM,5530178440.71376,5941896607.58643,5655358021.43209,6060026520.10608,6600843963.37585,65941,67327,68684,70108,71591
Cyprus,CYP,25754001367.5448,26196667099.5303,25555093854.2968,30372874319.6285,30976176886.8521,1270737,1286671,1302247,1317309,1331370
Czechia,CZE,251992360762.236,256794209028.77,251109660602.536,290972714482.313,301831228325.556,10629928,10671870,10697858,10505772,10672118
Germany,DEU,4052008447223.53,3957208055215.68,3940142541354.1,4348297440387.53,4163596357879.39,82905782,83092962,83160871,83196078,83797985
