Country Name,Country Code,2018,2019,2020,2021,2022,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022,gdp_per_capita_2018,gdp_per_capita_2019,gdp_per_capita_2020,gdp_per_capita_2021,gdp_per_capita_2022,gdp_per_capita_norm_2018,gdp_per_capita_norm_2019,gdp_per_capita_norm_2020,gdp_per_capita_norm_2021,gdp_per_capita_norm_2022
Aruba,ABW,3276184357.5419,3395798882.68156,2481857122.8401,2929446578.25104,3279343543.60416,108908.0,109203.0,108587.0,107700.0,107310.0,30082.127644818564,31096.205073867568,22855.932320076066,27200.061079396844,30559.53353465809,0.1597578158786525,0.16049920503175583,0.1292084830306935,0.12152467284081354,0.1351880685731499
Africa Eastern and Southern,AFE,1012306000425.25,1009721174054.91,933391782089.617,1085745178850.97,1191423176242.96,657801085.0,675950189.0,694446100.0,713090928.0,731821393.0,1538.9241877356435,1493.7804449003713,1344.0809619200352,1522.5900880497109,1628.0245257095949,0.008172798478162917,0.007709962464197028,0.0075983188840465146,0.006802641427193797,0.007201991187816768
Afghanistan,AFG,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,36743039.0,37856121.0,39068979.0,40000412.0,40578842.0,491.3372213826026,496.60250425850023,510.7870633668108,356.4962141158921,357.2611527981429,0.0026093553712278976,0.0025631522226244197,0.002887566373801228,0.0015927569303231534,0.001580437907150087
Africa Western and Central,AFW,770494988148.76,826483769985.129,789801651563.294,849312422223.205,883973910898.854,452195915.0,463365429.0,474569351.0,485920997.0,497387180.0,1703.8963922280457,1783.6543649119085,1664.24917643553,1747.840549115446,1777.2350121666868,0.009048919987305313,0.009206110743730612,0.009408284399032563,0.0078090174242311855,0.007862062698794433
Angola,AGO,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,31297155.0,32375632.0,33451132.0,34532429.0,35635029.0,2538.5913914337066,2189.8557140761823,1449.9228666930794,1925.874660821673,2929.694454672704,0.013481753049261235,0.011302668618520317,0.00819666122096321,0.008604439799072553,0.012960267681687366
Albania,ALB,15379509891.7196,15585105131.0644,15241458744.8688,18032010563.7558,19017242585.7803,2866376.0,2854191.0,2837849.0,2811666.0,2777689.0,5365.489346728971,5460.428237305912,5370.7786231292785,6413.283286050263,6846.426142660427,0.02849462209835552,0.02818332298551277,0.030361927436172123,0.028653323641359935,0.030286952050668448
Andorra,AND,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,75162.0,76474.0,77380.0,78364.0,79705.0,42819.77457976238,41257.80458464824,37361.09006669812,42425.69967562912,42414.05900921171,0.2274039171713096,0.21294704036912843,0.21120861333890706,0.1895499152767993,0.1876296544677311
Arab World,ARB,2867348492603.59,2899029698316.63,2562783626987.73,2969239218342.03,3609805711776.49,435998060.0,444281315.0,453723239.0,460646603.0,471352066.0,6576.5166308391135,6525.211843123832,5648.341117893963,6445.807260934104,7658.406469733158,0.03492605128990796,0.03367907148146798,0.03193103555184756,0.02879863454326212,0.033878958846579287
United Arab Emirates,ARE,427049432149.345,417989721734.494,349473015336.939,415178792769.884,502731935197.487,9346701.0,9445785.0,9401038.0,9575152.0,10074977.0,45689.85700402152,44251.45413901481,37173.87541002802,43360.02110148058,49899.0652978649,0.2426461269280495,0.22839839118438546,0.21015025695900966,0.1937242847855048,0.22074153237886845
Argentina,ARG,524819892360.176,447754683615.225,385740508436.965,486564085480.036,632790070063.124,44654882.0,44973465.0,45191965.0,45312281.0,45407904.0,11752.799892297913,9955.974786804285,8535.599380043886,10738.01792233845,13935.681111004904,0.06241585247630517,0.051386528832135445,0.04825319887233232,0.04797541120080121,0.061648120757847126
Armenia,ARM,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,2969000.0,2962500.0,2961500.0,2962300.0,2969200.0,4196.005623017682,4597.2288739954765,4268.680933045822,4685.1799712850825,6571.974455450996,0.02228381920529852,0.023728026550911156,0.024131581253258642,0.020932488406874467,0.029072843416830613
American Samoa,ASM,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,50908.0,50209.0,49761.0,49225.0,48342.0,12552.054686886147,12886.135951721802,14489.258656377484,15236.160487557136,18017.458938397252,0.06666047246534211,0.06651019220093035,0.08191025003978697,0.06807225223486775,0.0797049297796231
Antigua and Barbuda,ATG,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,90926.0,91364.0,91846.0,92349.0,92840.0,18273.42706849119,18884.372968038286,15360.454416047514,17340.379069255436,20117.765331035436,0.0970450904121083,0.09746934848459804,0.08683526823433518,0.07747349857692622,0.08899618300868757
Australia,AUS,1427809041019.44,1392723834562.64,1328414058378.38,1556735770437.26,1690858246994.43,24963258.0,25334826.0,25649248.0,25685412.0,26014399.0,57196.42207837775,54972.70178854356,51791.54017998422,60607.77886051662,64997.01365364735,0.30375429474946236,0.2837347809660447,0.29278640865596944,0.27078396905555707,0.2875312454914914
Austria,AUT,452582294972.775,442983642371.842,434397601557.696,480467037338.783,471773629830.381,8840521.0,8879920.0,8916864.0,8955797.0,9041851.0,51194.0749841299,49885.99473552036,48716.40989003488,53648.71907422455,52176.664914117806,0.27187749822613594,0.2574803735134215,0.2754021727244917,0.23969222035175017,0.2308170884325948
Azerbaijan,AZE,47112470051.7701,48174235294.1176,42693000000.0,54825411764.7059,78807470588.2353,9939771.0,10024283.0,10093121.0,10137750.0,10141756.0,4739.794312340808,4805.753717659169,4229.910649045028,5408.045351750231,7770.594223350996,0.025171729739138077,0.024804301664157032,0.023912406226300253,0.02416211273060504,0.034375250640822655
Burundi,BDI,2667182199.51333,2576518879.82353,2649680261.44299,2775798697.46022,3338722827.65691,11859446.0,12255336.0,12617036.0,12965481.0,13321097.0,224.89939239264044,210.2364945215317,210.0081399025088,214.09145541613302,250.63422536874478,0.0011943781419088842,0.001085109586819823,0.0011872118275860603,0.0009565196931548991,0.001108745878188918
Belgium,BEL,542638913427.921,536726344405.489,529694473501.791,598494036474.409,593438820508.173,11427054.0,11488980.0,11538604.0,11586195.0,11680210.0,47487.21003925605,46716.62274679641,45906.287580524564,51655.788330371535,50807.204708491794,0.25219136916165175,0.24112205315144292,0.25951607209828326,0.23078818679336274,0.22475892396564032
Benin,BEN,14262408079.7014,14391686309.033,15651545208.8783,17690083519.9323,17401746309.2655,12383347.0,12726755.0,13070169.0,13413417.0,13759501.0,1151.7409695215197,1130.821353049776,1197.5013642806225,1318.8349784348238,1264.7076597665496,0.006116576058755349,0.005836594136367718,0.006769679422351832,0.005892302550993658,0.0055947642538327486
